881 830
54 477 854
574 235 988
540 554 329
340 439 -626
420 705 382
838 92 -860
147 152 279
628 305 756
519 328 960
771 654 -235
621 611 -103
398 264 14
619 868 233
320 139 -536
630 586 -335
241 448 741
655 840 -895
588 256 -737
500 217 -309
275 105 41
764 271 -482
313 318 879
450 483 867
736 327 -770
274 230 -761
844 316 691
579 865 782
295 119 982
572 50 -39
269 528 854
197 832 898
768 686 14
881 37 -166
31 702 -496
796 685 -303
420 57 612
542 209 -300
409 595 -473
408 747 -594
90 562 918
290 54 94
292 411 -626
823 38 -553
28 568 -868
850 299 -567
190 72 621
454 397 829
54 93 901
110 268 -456
143 464 837
872 266 -634
667 557 615
606 242 -166
245 324 62
877 144 -867
438 510 -597
349 571 -516
195 125 799
756 638 283
540 532 -151
572 376 -505
186 474 792
570 756 814
510 856 -737
706 718 987
84 397 -755
618 757 -368
345 557 -238
813 421 -105
223 393 -121
17 111 -672
834 704 135
281 137 -104
438 8 878
524 789 917
303 402 -766
795 360 -83
498 395 278
377 858 397
700 543 -495
131 814 -17
348 659 133
218 211 285
87 669 911
536 323 296
290 534 -700
217 873 250
159 283 236
341 349 -705
648 326 -873
614 854 948
840 348 926
720 301 -548
291 756 -814
459 523 -812
851 666 73
155 750 766
543 588 428
254 724 878
699 436 -805
355 514 -121
860 179 -860
335 701 -927
208 436 -273
87 779 -674
434 398 -508
205 372 88
299 458 733
92 453 -467
33 16 569
348 413 -279
212 361 875
211 451 962
184 792 -787
21 216 545
79 319 143
766 431 408
823 826 -365
447 608 -131
497 8 613
367 65 -592
245 142 848
730 431 302
720 175 -952
519 473 533
106 454 651
76 166 -414
151 50 -681
128 819 -993
564 516 908
80 30 -803
842 6 594
547 407 -516
476 471 874
53 815 -800
708 722 -69
263 414 718
636 651 23
525 432 849
818 839 885
243 431 969
424 838 -754
170 285 437
565 346 -359
822 391 688
284 726 -828
242 237 -730
511 837 802
57 525 -492
366 83 -457
354 332 -119
8 227 -851
551 768 488
459 402 -349
440 196 52
71 314 264
670 598 326
557 797 701
111 353 933
59 626 501
635 91 780
584 624 -734
19 259 323
368 826 731
671 393 732
715 640 585
494 693 509
493 306 954
468 470 568
102 10 769
96 448 258
285 485 -880
521 223 97
29 868 -206
417 316 345
786 709 -207
415 547 -265
131 80 -167
605 308 -515
645 477 -211
535 305 -95
599 248 236
642 463 27
41 822 -860
32 602 742
406 510 413
754 746 928
708 252 730
406 593 -829
254 862 732
47 605 -812
427 766 -903
305 614 -1000
686 866 420
103 684 930
168 380 92
355 19 900
61 149 -350
687 403 52
318 397 -627
812 780 566
349 867 -920
416 68 503
392 322 650
129 144 218
639 843 18
658 401 363
562 419 661
82 418 -111
104 75 -990
61 563 459
26 2 879
226 564 -198
