826 2562
271 356 160
797 612 324
226 595 473
627 567 200
724 768 237
806 417 460
600 70 64
433 90 156
509 727 856
338 624 112
77 1 617
185 808 297
778 91 794
682 457 30
129 826 237
192 618 853
95 790 640
685 149 144
734 65 954
680 632 664
544 767 244
467 82 969
141 307 153
574 423 387
138 254 475
820 169 198
153 108 655
150 822 719
53 763 924
579 130 364
300 628 555
265 54 360
25 411 392
169 176 646
491 279 246
492 381 624
7 316 627
340 422 984
237 748 807
622 3 849
236 383 728
379 328 703
768 217 6
19 197 120
705 526 344
50 136 40
431 806 411
778 799 504
523 495 448
400 79 245
242 37 210
565 148 237
730 186 941
466 546 447
217 743 856
359 251 503
616 45 338
380 176 689
74 118 935
786 512 923
769 587 267
545 26 571
569 337 595
376 577 16
669 425 994
122 93 953
97 394 154
201 802 975
545 703 961
98 595 683
212 741 261
780 91 903
236 533 869
523 240 560
708 175 580
681 164 936
671 691 925
453 426 46
575 816 746
456 410 218
99 439 228
535 752 356
464 611 46
206 80 587
345 58 904
818 673 169
13 693 339
536 179 922
440 383 1
108 475 898
650 602 48
348 257 514
549 15 950
13 718 155
361 675 968
2 785 4
648 592 448
770 139 991
646 799 77
659 374 136
522 334 11
586 758 396
662 595 812
49 139 333
398 573 281
368 89 940
410 320 102
215 351 860
552 122 306
608 336 576
18 280 567
30 185 342
110 58 452
753 643 445
752 392 855
754 764 530
733 604 377
85 230 912
567 645 736
287 598 558
501 297 855
425 91 758
551 298 416
135 797 168
808 416 643
96 647 615
234 698 173
92 475 167
472 698 582
803 116 658
500 616 902
668 38 114
659 19 627
252 416 919
545 734 876
221 53 95
309 567 817
254 444 792
667 592 130
146 623 353
729 567 830
329 644 548
651 150 690
431 44 649
821 609 125
218 282 852
746 235 569
503 516 853
261 520 540
174 606 453
710 316 784
181 14 132
160 196 31
581 218 612
710 239 226
336 323 929
776 340 454
442 271 66
634 175 80
110 63 511
702 672 928
609 351 75
449 382 303
302 102 752
485 231 677
368 780 658
582 295 474
314 55 836
805 373 938
142 691 535
785 690 189
379 674 304
668 673 157
820 482 467
262 339 69
254 319 382
470 73 514
687 663 222
586 723 976
646 25 283
679 73 451
576 168 760
375 566 537
772 527 225
794 804 823
616 224 966
71 678 149
299 181 933
130 92 20
546 8 662
5 18 837
610 209 454
743 57 832
300 123 704
165 171 614
173 674 168
471 74 996
278 472 168
609 701 802
799 613 757
781 685 377
714 663 676
579 332 217
593 191 962
650 291 603
74 447 718
63 519 801
37 391 763
412 436 181
506 665 415
185 629 879
260 781 167
239 721 997
6 218 214
474 259 482
245 438 676
591 615 323
314 451 605
103 542 901
755 142 464
719 679 788
80 198 49
476 393 749
489 277 69
302 482 328
243 524 848
32 715 643
500 379 173
223 588 101
61 228 929
5 585 95
362 750 873
223 130 936
558 536 977
802 647 599
811 232 838
204 809 185
450 344 669
529 236 45
627 212 955
717 807 18
366 13 228
114 499 948
703 143 909
539 31 645
602 721 258
343 230 838
806 545 916
128 328 503
127 473 142
632 567 600
180 701 125
129 727 456
159 7 673
81 809 395
70 290 134
405 780 725
643 503 51
279 764 848
160 257 336
431 252 375
190 581 381
721 298 370
28 355 414
732 4 569
47 305 450
567 717 741
44 705 764
560 163 781
651 233 540
159 213 396
69 72 554
751 719 546
552 318 778
391 573 449
532 367 976
24 669 461
780 544 864
409 689 660
123 712 864
198 88 334
577 195 265
12 365 117
116 25 558
235 456 872
519 825 435
136 483 606
686 572 775
249 481 877
547 337 994
375 742 136
121 806 798
310 546 113
610 261 562
409 16 768
292 438 224
319 567 60
618 439 939
43 487 287
396 543 716
418 771 596
37 129 382
639 575 146
203 521 317
54 802 649
437 53 365
780 615 681
11 74 445
700 61 474
23 330 472
422 287 805
331 775 332
691 315 849
361 87 696
577 637 519
9 573 835
819 603 469
739 605 664
644 1 201
675 440 469
593 411 376
596 568 961
776 90 799
76 195 849
675 194 257
221 283 729
569 481 999
75 168 829
456 33 329
216 490 142
337 450 514
809 420 382
133 693 958
810 632 792
59 785 773
328 363 884
225 470 502
772 127 40
191 537 250
36 18 410
159 593 423
302 496 430
502 87 857
821 629 315
697 582 235
737 521 711
639 605 684
422 395 274
523 329 773
262 730 788
162 816 195
366 819 555
31 345 861
534 508 856
641 243 696
495 200 975
455 297 718
92 54 196
63 298 68
243 337 200
786 510 929
108 531 269
35 514 451
818 442 821
631 113 790
742 139 843
106 185 526
281 467 929
612 720 442
788 52 604
211 720 694
462 170 378
810 427 194
334 752 384
625 186 347
555 344 914
522 553 624
41 418 58
135 705 451
669 795 184
91 445 42
660 266 961
192 418 115
739 83 303
311 661 360
798 359 823
695 154 978
647 70 122
754 164 366
776 102 240
476 417 646
184 608 409
544 282 549
14 745 51
88 529 512
136 47 281
34 650 253
3 446 422
185 335 240
58 786 293
203 365 971
507 656 946
